行政组织编码,行政组织名称,所属公司,组织单位,组织长名称,组织流程层级分类,物理层级,组织授权级别,组织授权级别命中规则,模拟授权级别
50939479,福建伯恩,福建伯恩,被投-福建伯恩,万物云_投资与创新发展中心_万物成长被投企业_福建伯恩,业务单元本部,4,二级授权,org_code:l2_specified,三级授权
50967791,品牌管理组,丹田,丹田,万物云_丹田_市场拓展部_品牌管理组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50967792,战略规划部,丹田,丹田,万物云_丹田_业务发展中心_战略规划部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50967793,产品技术部,丹田,丹田,万物云_丹田_业务发展中心_产品技术部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50967795,人力资源与行政服务部,丹田,丹田,万物云_丹田_业务支持中心_人力资源与行政服务部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50967796,行政管理部,丹田,丹田,万物云_丹田_业务支持中心_行政管理部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50967797,系统运维支持部,丹田,丹田,万物云_丹田_业务支持中心_系统运维支持部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50967798,供应链管理部,丹田,丹田,万物云_丹田_业务支持中心_供应链管理部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50972787,合作与服务发展中心本部50972787,丹田,丹田,万物云_丹田_业务发展中心_合作与服务发展中心本部50972787,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50973463,失效组织50973463,丹田,丹田,万物云_丹田_市场拓展部_失效组织50973463,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50973464,失效组织50973464,丹田,丹田,万物云_丹田_市场拓展部_失效组织50973464,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50973465,失效组织50973465,丹田,丹田,万物云_丹田_市场拓展部_失效组织50973465,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55000926,数字化运营部,丹田,丹田,万物云_丹田_业务发展中心_数字化运营部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55001255,PA组,丹田,丹田,万物云_丹田_市场拓展部_PA组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55001256,PB投标组,丹田,丹田,万物云_丹田_市场拓展部_PB投标组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55001257,本部运营组,丹田,丹田,万物云_丹田_市场拓展部_本部运营组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55006130,能源技术服务部,丹田,丹田,万物云_丹田_业务发展中心_能源技术服务部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55007356,大客户服务组,丹田,丹田,万物云_丹田_市场拓展部_大客户服务组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55008484,产品研发部,丹田,丹田,万物云_丹田_业务发展中心_产品研发部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50907689,产品中心,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_产品中心,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50907811,幸福社,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_幸福社,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50917825,人力资源与行政服务部,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_人力资源与行政服务部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50917926,财务及运营管理部,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_财务及运营管理部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50923196,管理层,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_管理层,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50923451,爱领克,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_爱领克,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50925690,到家事业部,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_到家事业部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50942261,百川产品中心,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_百川产品中心,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50942262,住这儿产品中心,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_住这儿产品中心,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50948575,幸福社区发展中心,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_幸福社区发展中心,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50948701,研发中心,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_研发中心,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50948710,服务中台,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_服务中台,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50948711,蝶城办公室,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_蝶城办公室,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50948712,住这儿工作室,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间_住这儿工作室,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004014,研选家人力资源组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_人力资源与行政服务部_研选家人力资源组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
