001. 50939479 | 福建伯恩
002. 50921744 | 重庆天骄
003. 50369259 | F01广州西北
004. 50369260 | F02广州中南
005. 50369261 | F03广州东清管理中心
006. 50498544 | F广州大区
007. 50905749 | 北京商企公司
008. 50142340 | 北京物业
009. 50909434 | 北京战区
010. 50909435 | 成都战区
011. 50006294 | 东莞物业（中心城市）
012. 50901670 | 房产经纪运营管理中心
013. 50909440 | 佛山战区
014. 50931207 | 福建伯恩物业集团有限公司
015. 50932028 | 福建伯恩物业集团有限公司50932028
016. 50932030 | 福建伯恩物业集团有限公司50932030
017. 50907818 | 公司服务中心
018. 50927570 | 广州万盈物业50927570
019. 50927609 | 广州万盈物业50927609
020. 50004868 | 广州物业（中心城市）
021. 50909439 | 广州战区
022. 50074602 | 海南物业
023. 50099558 | 杭州物业（中心城市）
024. 50909444 | 杭州战区
025. 50108552 | 合肥城市代表处
026. 50916215 | 华北区域
027. 50916214 | 华东区域
028. 50916213 | 华南区域
029. 50104181 | 惠州物业
030. 50924106 | 吉黑战区代表处
031. 50164166 | 昆明物业
032. 50909442 | 南京战区
033. 50909443 | 青岛战区
034. 50909441 | 厦门战区
035. 50909437 | 上海战区
036. 50712938 | 设施管理运营中心
037. 50909432 | 深圳战区
038. 50909433 | 沈阳战区
039. 50909445 | 苏州战区
040. 50525989 | 万物仓
041. 50910217 | 万物成长咨询服务公司
042. 50907636 | 万物社区业务部
043. 50909436 | 武汉战区
044. 50000094 | 物业发展
045. 50217291 | 物业事业本部
046. 50901406 | 幸福社区发展中心50901406
047. 50911423 | 业财法人组织
048. 50905793 | 誉鹰物业
049. 50909438 | 长春战区
050. 50635751 | 浙江耀江物业
051. 50907620 | 政企空间服务事业部
052. 50916216 | 中西区域
053. 50921923 | 珠海万物云
054. 50802219 | 住宅项目运营中心
055. 50974450 | 资产经营中心50974450
056. 50906472 | 自营装修发展中心-作废
057. 50942331 | 安徽战区代表处
058. 50924095 | 川云战区代表处
059. 50924104 | 东北战区代表处
060. 50924096 | 鄂豫战区代表处
061. 50924092 | 佛山战区代表处
062. 55008578 | 福建战区代表处
063. 50947634 | 福州战区代表处
064. 50924091 | 广州战区代表处
065. 50924101 | 杭州战区代表处
066. 50924107 | 津晋战区代表处
067. 50924103 | 京冀战区代表处
068. 50924099 | 南京战区代表处
069. 50942333 | 琼桂战区代表处
070. 50924093 | 厦门战区代表处
071. 50924105 | 山东战区代表处
072. 50924098 | 上海战区代表处
073. 50924090 | 深圳战区代表处
074. 50924100 | 苏州战区代表处
075. 50924460 | 万科物业
076. 50913850 | 万物梁行
077. 50942334 | 西北战区代表处
078. 50942332 | 湘赣战区代表处
079. 50924097 | 渝贵战区代表处
080. 55003992 | 人力资源与行政服务部
081. 55004012 | 组织发展与薪酬绩效组
082. 55004013 | HRBP组
083. 55004015 | 朴邻人力资源组
084. 50967781 | 丹田
085. 50967784 | 业务发展中心
086. 50967785 | 业务支持中心
087. 50967786 | 财务管理部
088. 50967794 | 市场拓展部
089. 50967807 | 丹田本部
090. 55000825 | 丹田（组织）
091. 50923142 | 第五空间
092. 55001776 | 蝶城发展中心
093. 55001777 | 管理层
094. 55002786 | 住这儿产品业务部
095. 55003993 | 财务及运营管理部
096. 55003994 | 蝶城办公室
