行政组织编码,行政组织名称,所属公司,组织单位,组织长名称,组织流程层级分类,物理层级,组织授权级别,组织授权级别命中规则,刷新时间
50939479,福建伯恩,福建伯恩,被投-福建伯恩,万物云_投资与创新发展中心_万物成长被投企业_福建伯恩,业务单元本部,4,二级授权,org_code:l2_specified,2026-03-21 16:40:47.619028+08:00
50921744,重庆天骄,重庆天骄,被投-重庆天骄,万物云_投资与创新发展中心_万物成长被投企业_重庆天骄,属地组织,4,二级授权,org_code:l2_specified,2026-03-21 16:40:47.619028+08:00
50369259,F01广州西北,F01广州西北,（作废）F01广州西北,万物云_F01广州西北,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50369260,F02广州中南,F02广州中南,（作废）F02广州中南,万物云_F02广州中南,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50369261,F03广州东清管理中心,F03广州东清管理中心,（作废）F03广州东清管理中心,万物云_F03广州东清管理中心,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50498544,F广州大区,F广州大区,（作废）F广州大区,万物云_F广州大区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50905749,北京商企公司,北京商企公司,（作废）北京商企公司,万物云_北京商企公司,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50142340,北京物业,北京物业,（作废）北京物业,万物云_北京物业,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909434,北京战区,北京战区,（作废）北京战区,万物云_北京战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909435,成都战区,成都战区,（作废）成都战区,万物云_成都战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50006294,东莞物业（中心城市）,东莞物业（中心城市）,（作废）东莞物业（中心城市）,万物云_东莞物业（中心城市）,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50901670,房产经纪运营管理中心,房产经纪运营管理中心,（作废）房产经纪运营管理中心,万物云_房产经纪运营管理中心,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909440,佛山战区,佛山战区,（作废）佛山战区,万物云_佛山战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50931207,福建伯恩物业集团有限公司,福建伯恩物业集团有限公司,（作废）福建伯恩物业集团有限公司,万物云_福建伯恩物业集团有限公司,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50932028,福建伯恩物业集团有限公司50932028,福建伯恩物业集团有限公司50932028,（作废）福建伯恩物业集团有限公司50932028,万物云_福建伯恩物业集团有限公司50932028,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50932030,福建伯恩物业集团有限公司50932030,福建伯恩物业集团有限公司50932030,（作废）福建伯恩物业集团有限公司50932030,万物云_福建伯恩物业集团有限公司50932030,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50907818,公司服务中心,公司服务中心,（作废）公司服务中心,万物云_公司服务中心,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
